ITEM,TITLE,seriesid,DATA_TYPE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONALLY ADJUSTED INDEX,2018,162.212,163.245,162.197,162.246,161.767,161.728,162.336,161.887,161.283,160.804,160.609,160.305
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONAL FACTOR,2014,100.184,100.365,100.329,100.44,100.568,100.45,100.121,100.201,100.028,99.78,98.684,98.947
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONAL FACTOR,2015,100.092,100.291,100.184,100.523,100.591,100.496,100.147,100.242,100.108,99.888,98.683,98.869
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONAL FACTOR,2016,99.942,100.267,100.072,100.588,100.607,100.577,100.187,100.225,100.106,99.969,98.694,98.845
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONAL FACTOR,2017,99.798,100.302,100.001,100.651,100.602,100.639,100.229,100.153,100.076,100.042,98.712,98.874
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,SEASONAL FACTOR,2018,99.694,100.312,99.948,100.708,100.601,100.664,100.266,100.099,100.017,100.086,98.764,98.89
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,UNADJUSTED INDEX,2014,168.767,168.175,168.099,165.939,168.116,167.247,167.832,167.586,167.032,165.478,162.731,162.75
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,UNADJUSTED INDEX,2015,164.436,164.42,163.642,163.39,163.631,163.748,161.905,162.434,161.601,160.149,158.449,158.842
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,UNADJUSTED INDEX,2016,161.02,161.319,160.795,161.441,162.544,160.33,158.948,158.83,159.41,159.458,156.498,158.366
SEFS03,Other fats and oils including peanut butter,CWSR0000SEFS03,UNADJUSTED INDEX,2017,157.783,159.252,159.755,161.972,162.06,162.887,161.965,160.306,161.697,162.663,161.008,160.825
